Local,Latitude,Longitude
Lisboa,38.716667,-9.133333
Monte Pascoal (BA),-16.895833,-39.408056
Cananor,11.8675,75.3575
Ilhas Canárias,28,-15.5
Santiago (Cabo Verde),15.087222,-23.625556
Baía de Santa Helena,-32.7583,18.0278
Cabo da Boa Esperança,-34.350278,18.478889
Mossel Bay,-34.183056,22.145833
Natal,-29.857778,31.029167
Quelimane,-17.878611,36.888333
Ilha de Moçambique,-15.035278,40.732222
Mombaça,-4.054444,39.663333
Malindi,-3.217778,40.116667
Goa,15.333333,74.083333
Calicute,11.497778,75.968611
Ceuta,35.889167,-5.320278
Tanger,35.767222,-5.79922
Arzila,35.465,-6.033889
Alcácer-Quibir,34.9989,-5.9028
Cochin,9.939722,76.26
Goa,15.333333,74.083333
Tidore,0.688611,127.411389
Sohar,24.347222,56.709167
